position,name,price,salary,perfo
Goalkeepers,Andriy Lunin,30000000,10000000,1
Goalkeepers,Dominic Livakovic,15000000,9000000,1
Goalkeepers,Rui Patricio,10000000,7000000,0
Goalkeepers,Yassine Bounou,14000000,9000000,0
Midfielders,Enzo Fernández,35000000,15000000,1
Midfielders,Jamal Musiala,30000000,10000000,1
Midfielders,Arda Guler,18000000,9000000,0
Right Side,Achraf Hakimi,20000000,15000000,1
Right Side,Jeremie Frimpong,12000000,8000000,1
Right Side,Ronald Araujo,15000000,10000000,1
Strikers,Victor Osimhen,30000000,12000000,1
Strikers,Harry Kane,40000000,15000000,1
Strikers,Karim Benzema,20000000,20000000,0
